"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"west",57788,"vale","butte",44.62,-103.4,NA
"southeast",57067,"utica","yankton",42.98,-97.5,67
"west",57787,"union center","meade",44.5607887349764,-102.669465470303,NA
"southeast",57066,"tyndall","bon homme",42.99,-97.86,1022
"northeast",57269,"twin brooks","grant",45.21,-96.79,70
"west",57574,"tuthill","bennett",43.1557372952368,-101.493889273249,NA
"northeast",57477,"turton","spink",45.05,-98.1,49
"northeast",57476,"tulare","spink",44.74,-98.51,211
"southeast",57376,"tripp","hutchinson",43.23,-97.97,623
"northeast",57065,"trent","moody",43.91,-96.66,230
"central",57657,"trail city","corson",45.4735608871222,-100.724225442603,NA
"northeast",57268,"toronto","deuel",44.57,-96.64,209
"central",57475,"tolstoy","potter",45.21,-99.61,36
"central",57656,"timber lake","dewey",45.43,-101.07,499
"southeast",57064,"tea","lincoln",43.45,-96.83,6031
"southeast",57063,"tabor","bon homme",42.95,-97.66,402
"northeast",57266,"summit","roberts",45.31,-97.04,289
"west",57785,"sturgis","meade",44.41,-103.52,6922
"northeast",57474,"stratford","brown",45.32,-98.3,74
"northeast",57265,"strandburg","grant",45.04,-96.76,70
"northeast",57264,"stockholm","grant",45.1,-96.8,107
"central",57375,"stickney","aurora",43.59,-98.44,272
"central",57346,"stephan","hyde",44.2483171843904,-99.4531221096057,NA
"southeast",57062,"springfield","bon homme",42.86,-97.9,1922
"southeast",57374,"spencer","mccook",43.73,-97.59,147
"west",57783,"spearfish","lawrence",44.49,-103.82,11756
"west",57799,"spearfish","lawrence",44.49,-103.82,11756
"northeast",57263,"south shore","codington",45.1,-96.93,215
"west",57782,"smithwick","fall river",43.301584487639,-103.218468503627,NA
"northeast",57262,"sisseton","roberts",45.66,-97.05,2398
"southeast",57108,"sioux falls","lincoln",43.54,-96.73,NA
"southeast",57101,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57103,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57104,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57105,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57106,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57107,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57109,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57110,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57117,"sioux falls","minnehaha",43.54,-96.73,183793
"southeast",57118,"sioux falls","minnehaha",43.54,-96.73,183793
