"Region","ZIP_Code","City","County","lat","lon"
"west",57722,"buffalo gap","custer",43.49,-103.32
"central",57621,"bullhead","corson",45.77,-101.08
"southeast",57010,"burbank","clay",42.7464097991704,-96.8294772577994
"central",57523,"burke","gregory",43.18,-99.29
"west",57724,"camp crook","harding",45.55,-103.97
"southeast",57012,"canistota","mccook",43.6,-97.29
"southeast",57321,"canova","miner",43.88,-97.5
"southeast",57013,"canton","lincoln",43.3,-96.58
"west",57725,"caputa","pennington",43.9945851637848,-102.98056575633
"northeast",57322,"carpenter","clark",44.6380388030846,-97.9159080485711
"southeast",57323,"carthage","miner",44.17,-97.71
"northeast",57223,"castlewood","hamlin",44.72,-97.03
"northeast",57324,"cavour","beadle",44.37,-98.04
"southeast",57014,"centerville","turner",43.12,-96.96
"central",57325,"chamberlain","brule",43.79,-99.33
"central",57326,"chamberlain","brule",43.79,-99.33
"southeast",57015,"chancellor","turner",43.37,-96.99
"central",57622,"cherry creek","ziebach",44.6053242344949,-101.500170531568
"southeast",57016,"chester","lake",43.9,-96.93
"northeast",57224,"claire city","roberts",45.8571215537206,-97.1039541259793
"northeast",57432,"claremont","brown",45.67,-98.02
"northeast",57225,"clark","clark",44.88,-97.73
"northeast",57226,"clear lake","deuel",44.76,-96.68
"northeast",57017,"colman","moody",43.98,-96.81
"central",57528,"colome","tripp",43.26,-99.72
"southeast",57018,"colton","minnehaha",43.79,-96.93
"northeast",57433,"columbia","brown",45.61,-98.31
"northeast",57434,"conde","spink",45.16,-98.1
"northeast",57227,"corona","roberts",45.34,-96.76
"southeast",57328,"corsica","douglas",43.42,-98.41
"northeast",57435,"cresbard","faulk",45.17,-98.95
"southeast",57020,"crooks","minnehaha",43.66,-96.81
"west",57730,"custer","custer",43.77,-103.6
"central",57529,"dallas","gregory",43.24,-99.52
"central",57329,"dante","charles mix",43.04,-98.19
"southeast",57021,"davis","turner",43.26,-96.99
"northeast",57231,"de smet","kingsbury",44.39,-97.55
"west",57732,"deadwood","lawrence",44.38,-103.72
"southeast",57022,"dell rapids","minnehaha",43.83,-96.72
"southeast",57330,"delmont","douglas",43.27,-98.16
"southeast",57331,"dimock","hutchinson",43.48,-97.99
"northeast",57436,"doland","spink",44.89,-98.1
"west",57531,"draper","jones",43.93,-100.54
