"Region","ZIP_Code","City","County","lat","lon","X2019_estimate"
"Black Hills and Badlands",57735,"edgemont","fall river",43.3,-103.83,719
"Glacial Lakes & Prairies",57024,"egan","moody",44,-96.65,273
"Southeast",57025,"elk point","union",42.68,-96.68,1871
"Glacial Lakes & Prairies",57026,"elkton","brookings",44.24,-96.48,726
"Black Hills and Badlands",57706,"ellsworth afb","meade",44.1538298952842,-103.09018705767,8000
"Southeast",57332,"emery","hanson",43.6,-97.62,451
"Black Hills and Badlands",57737,"enning","meade",44.5753490395878,-102.563021439186,90
"Glacial Lakes & Prairies",57233,"erwin","kingsbury",44.49,-97.44,44
"Glacial Lakes & Prairies",57234,"estelline","hamlin",44.58,-96.9,746
"Southeast",57334,"ethan","davison",43.55,-97.98,322
"Glacial Lakes & Prairies",57437,"eureka","mcpherson",45.77,-99.62,826
"Black Hills and Badlands",57738,"fairburn","custer",43.69,-103.21,98
"Missouri River",57335,"fairfax","gregory",43.03,-98.89,115
"Southeast",57027,"fairview","lincoln",43.22,-96.49,74
"Black Hills and Badlands",57626,"faith","meade",45.03,-102.04,411
"Glacial Lakes & Prairies",57438,"faulkton","faulk",45.03,-99.13,709
"Southeast",57337,"fedora","miner",44.01,-97.79,14
"Glacial Lakes & Prairies",57439,"ferney","brown",45.33,-98.09,41
"Glacial Lakes & Prairies",57028,"flandreau","moody",44.05,-96.6,2316
"Glacial Lakes & Prairies",57235,"florence","codington",45.05,-97.33,360
"Black Hills and Badlands",57741,"fort meade","meade",44.4096217284008,-103.47131747301,86
"Missouri River",57532,"fort pierre","stanley",44.37,-100.38,2217
"Missouri River",57339,"fort thompson","buffalo",44.05,-99.41,1282
"Glacial Lakes & Prairies",57440,"frankfort","spink",44.88,-98.31,151
"Glacial Lakes & Prairies",57441,"frederick","brown",45.83,-98.51,196
"Southeast",57029,"freeman","hutchinson",43.35,-97.43,1275
"Southeast",57340,"fulton","hanson",43.73,-97.82,96
"Missouri River",57341,"gann valley","buffalo",44.03,-98.99,14
"Glacial Lakes & Prairies",57236,"garden city","clark",44.9595438369227,-97.5803989889817,58
"Southeast",57030,"garretson","minnehaha",43.71,-96.5,1147
"Glacial Lakes & Prairies",57237,"gary","deuel",44.79,-96.46,229
"Southeast",57031,"gayville","yankton",42.89,-97.17,396
"Missouri River",57342,"geddes","charles mix",43.25,-98.7,207
"Missouri River",57442,"gettysburg","potter",45.01,-99.95,1081
"Missouri River",57630,"glencross","dewey",45.4482917050667,-100.921469299085,43
"Missouri River",57631,"glenham","walworth",45.53,-100.27,105
"Glacial Lakes & Prairies",57238,"goodwin","deuel",44.88,-96.85,148
"Missouri River",57533,"gregory","gregory",43.23,-99.42,1242
"Glacial Lakes & Prairies",57239,"grenville","day",45.47,-97.39,51
"Glacial Lakes & Prairies",57445,"groton","brown",45.45,-98.1,1475
"Missouri River",57534,"hamill","tripp",43.59,-99.69,0
"Southeast",57032,"harrisburg","lincoln",43.43,-96.7,6710
"Southeast",57344,"harrison","douglas",43.43,-98.53,53
"Missouri River",57536,"harrold","hughes",44.52,-99.74,124
"Southeast",57033,"hartford","minnehaha",43.62,-96.94,3354
"Missouri River",57537,"hayes","stanley",44.3716904187189,-101.021546321331,77
"Glacial Lakes & Prairies",57241,"hayti","hamlin",44.66,-97.2,383
"Glacial Lakes & Prairies",57242,"hazel","hamlin",44.76,-97.38,86
"Glacial Lakes & Prairies",57446,"hecla","brown",45.88,-98.15,216
"Glacial Lakes & Prairies",57243,"henry","codington",44.88,-97.46,265
"Black Hills and Badlands",57744,"hermosa","custer",43.84,-103.19,425
"Missouri River",57632,"herreid","campbell",45.84,-100.07,416
"Missouri River",57538,"herrick","gregory",43.12,-99.19,103
"Missouri River",57345,"highmore","hyde",44.52,-99.44,726
"Black Hills and Badlands",57745,"hill city","pennington",43.93,-103.57,1032
"Glacial Lakes & Prairies",57348,"hitchcock","beadle",44.63,-98.41,95
"Missouri River",57540,"holabird","hyde",44.5270410791622,-99.5983905896957,130
"Glacial Lakes & Prairies",57448,"hosmer","edmunds",45.58,-99.47,186
"Black Hills and Badlands",57747,"hot springs","fall river",43.43,-103.48,3502
"Glacial Lakes & Prairies",57449,"houghton","brown",45.7629880738032,-98.2104228370448,164
"Missouri River",57450,"hoven","potter",45.24,-99.78,366
"Southeast",57349,"howard","miner",44.01,-97.52,757
"Black Hills and Badlands",57748,"howes","meade",44.6185109925182,-102.051843490746,469
"Southeast",57034,"hudson","lincoln",43.13,-96.46,345
"Southeast",57035,"humboldt","minnehaha",43.64,-97.07,567
"Southeast",57036,"hurley","turner",43.28,-97.09,399
"Glacial Lakes & Prairies",57350,"huron","beadle",44.36,-98.21,13380
"Glacial Lakes & Prairies",57399,"huron","beadle",44.36,-98.21,13380
"Missouri River",57541,"ideal","tripp",43.543359121331,-99.9217250031238,129
"Black Hills and Badlands",57750,"interior","jackson",43.73,-101.98,106
"Glacial Lakes & Prairies",57451,"ipswich","edmunds",45.44,-99.03,891
"Southeast",57037,"irene","clay",43.08,-97.16,406
"Glacial Lakes & Prairies",57353,"iroquois","kingsbury",44.37,-97.85,259
"Missouri River",57633,"isabel","dewey",45.39,-101.43,152
"Missouri River",57452,"java","walworth",45.5,-99.88,127
"Southeast",57038,"jefferson","union",42.6,-96.57,511
"Black Hills and Badlands",57543,"kadoka","jackson",43.83,-101.51,717
"Southeast",57354,"kaylor","hutchinson",43.19,-97.84,24
"Missouri River",57634,"keldron","corson",45.9319753611175,-101.809625036678,128
"Missouri River",57544,"kennebec","lyman",43.9,-99.86,247
"Black Hills and Badlands",57751,"keystone","pennington",43.9,-103.43,343
"Missouri River",57355,"kimball","brule",43.75,-98.96,673
"Glacial Lakes & Prairies",57245,"kranzburg","codington",44.89,-96.91,174
