"Region","ZIP_Code","City","County","lat","lon"
"northeast",57238,"goodwin","deuel",44.88,-96.85
"northeast",57268,"toronto","deuel",44.57,-96.64
"northeast",57428,"bowdle","edmunds",45.45,-99.66
"northeast",57448,"hosmer","edmunds",45.58,-99.47
"northeast",57451,"ipswich","edmunds",45.44,-99.03
"northeast",57471,"roscoe","edmunds",45.45,-99.34
"northeast",57435,"cresbard","faulk",45.17,-98.95
"northeast",57438,"faulkton","faulk",45.03,-99.13
"northeast",57466,"onaka","faulk",45.19,-99.47
"northeast",57470,"rockham","faulk",44.9,-98.82
"northeast",57473,"seneca","faulk",45.06,-99.51
"northeast",57216,"big stone city","grant",NA,NA
"northeast",57246,"labolt","grant",NA,NA
"northeast",57251,"marvin","grant",45.26,-96.92
"northeast",57252,"milbank","grant",45.22,-96.63
"northeast",57259,"revillo","grant",45.02,-96.57
"northeast",57264,"stockholm","grant",45.1,-96.8
"northeast",57265,"strandburg","grant",45.04,-96.76
"northeast",57269,"twin brooks","grant",45.21,-96.79
"northeast",57221,"bryant","hamlin",44.59,-97.47
"northeast",57223,"castlewood","hamlin",44.72,-97.03
"northeast",57234,"estelline","hamlin",44.58,-96.9
"northeast",57241,"hayti","hamlin",44.66,-97.2
"northeast",57242,"hazel","hamlin",44.76,-97.38
"northeast",57248,"lake norden","hamlin",44.58,-97.21
"northeast",57362,"miller","hand",44.52,-98.99
"northeast",57371,"ree heights","hand",44.52,-99.2
"northeast",57373,"saint lawrence","hand",NA,NA
"northeast",57467,"orient","hand",44.9,-99.09
"northeast",57312,"alpena","jerauld",44.18,-98.37
"northeast",57358,"lane","jerauld",44.07,-98.42
"northeast",57382,"wessington springs","jerauld",44.08,-98.57
"northeast",57051,"oldham","kingsbury",44.23,-97.31
"northeast",57212,"arlington","kingsbury",44.36,-97.13
"northeast",57214,"badger","kingsbury",44.49,-97.21
"northeast",57231,"de smet","kingsbury",44.39,-97.55
"northeast",57233,"erwin","kingsbury",44.49,-97.44
"northeast",57249,"lake preston","kingsbury",44.36,-97.38
"northeast",57353,"iroquois","kingsbury",44.37,-97.85
"northeast",57232,"eden","marshall",45.62,-97.42
"northeast",57247,"lake city","marshall",NA,NA
"northeast",57270,"veblen","marshall",45.86,-97.29
"northeast",57421,"amherst","marshall",NA,NA
"northeast",57430,"britton","marshall",45.79,-97.75
"northeast",57454,"langford","marshall",45.6,-97.83
"northeast",57437,"eureka","mcpherson",45.77,-99.62
"northeast",57456,"leola","mcpherson",45.72,-98.94
"northeast",57457,"long lake","mcpherson",45.86,-99.21
"northeast",57017,"colman","moody",43.98,-96.81
"northeast",57024,"egan","moody",44,-96.65
"northeast",57028,"flandreau","moody",44.05,-96.6
"northeast",57065,"trent","moody",43.91,-96.66
"northeast",57224,"claire city","roberts",NA,NA
"northeast",57227,"corona","roberts",45.34,-96.76
"northeast",57255,"new effington","roberts",45.86,-96.92
"northeast",57256,"ortley","roberts",45.33,-97.2
"northeast",57257,"peever","roberts",45.54,-96.96
"northeast",57260,"rosholt","roberts",45.87,-96.73
"northeast",57262,"sisseton","roberts",45.66,-97.05
"northeast",57266,"summit","roberts",45.31,-97.04
"northeast",57279,"wilmot","roberts",45.41,-96.86
"northeast",57314,"artesian","sanborn",44.01,-97.92
"northeast",57359,"letcher","sanborn",43.9,-98.14
"northeast",57385,"woonsocket","sanborn",44.05,-98.27
"northeast",57424,"ashton","spink",44.99,-98.5
"northeast",57429,"brentford","spink",45.16,-98.32
"northeast",57434,"conde","spink",45.16,-98.1
"northeast",57436,"doland","spink",44.89,-98.1
"northeast",57440,"frankfort","spink",44.88,-98.31
"northeast",57461,"mellette","spink",45.15,-98.5
"northeast",57465,"northville","spink",45.16,-98.58
"northeast",57469,"redfield","spink",44.87,-98.52
"northeast",57476,"tulare","spink",44.74,-98.51
"northeast",57477,"turton","spink",45.05,-98.1
"southeast",57059,"scotland","bon homme",43.15,-97.72
"southeast",57062,"springfield","bon homme",42.86,-97.9
"southeast",57063,"tabor","bon homme",42.95,-97.66
"southeast",57066,"tyndall","bon homme",42.99,-97.86
"southeast",57315,"avon","bon homme",43.01,-98.06
"southeast",57010,"burbank","clay",NA,NA
"southeast",57037,"irene","clay",43.08,-97.16
"southeast",57069,"vermillion","clay",42.78,-96.92
"southeast",57073,"wakonda","clay",43.01,-97.11
"southeast",57301,"mitchell","davison",43.73,-98.03
"southeast",57334,"ethan","davison",43.55,-97.98
"southeast",57363,"mount vernon","davison",43.71,-98.26
"southeast",57313,"armour","douglas",43.32,-98.34
"southeast",57328,"corsica","douglas",43.42,-98.41
"southeast",57330,"delmont","douglas",43.27,-98.16
"southeast",57344,"harrison","douglas",43.43,-98.53
"southeast",57364,"new holland","douglas",43.43,-98.61
"southeast",57311,"alexandria","hanson",43.65,-97.78
"southeast",57332,"emery","hanson",43.6,-97.62
"southeast",57340,"fulton","hanson",43.73,-97.82
"southeast",57029,"freeman","hutchinson",43.35,-97.43
"southeast",57045,"menno","hutchinson",43.24,-97.58
"southeast",57052,"olivet","hutchinson",43.24,-97.67
"southeast",57331,"dimock","hutchinson",43.48,-97.99
"southeast",57354,"kaylor","hutchinson",43.19,-97.84
"southeast",57366,"parkston","hutchinson",43.39,-97.99
"southeast",57376,"tripp","hutchinson",43.23,-97.97
"southeast",57016,"chester","lake",43.9,-96.93
"southeast",57042,"madison","lake",44.01,-97.11
"southeast",57050,"nunda","lake",44.16,-97.02
"southeast",57054,"ramona","lake",44.12,-97.22
"southeast",57057,"rutland","lake",NA,NA
"southeast",57075,"wentworth","lake",NA,NA
"southeast",57076,"winfred","lake",44,-97.36
"southeast",57013,"canton","lincoln",43.3,-96.58
"southeast",57027,"fairview","lincoln",43.22,-96.49
"southeast",57032,"harrisburg","lincoln",43.43,-96.7
